,waitlistFlag,sanctionFlag,contactDetails_address_geoLocationDetails_latitude,contactDetails_address_geoLocationDetails_longitude,Room Size,home,maximumRAD,maximumDAP
7492,False,False,-35.8152862,145.5698984,14.3,Tocumwal Lions Community Hostel,300000.0,51.62
7494,False,False,-41.5930385,147.1195411,17m2,Toosey Aged and Community Care,395000.0,67.96
7495,False,False,-41.5930385,147.1195411,17m2,Toosey Aged and Community Care,475000.0,81.73
7496,False,False,-41.5930385,147.1195411,17.7m2,Toosey Aged and Community Care,395000.0,67.96
7497,False,False,-41.5930385,147.1195411,17m2,Toosey Aged and Community Care,395000.0,67.96
7498,False,False,-41.5930385,147.1195411,19.9m2,Toosey Aged and Community Care,395000.0,67.96
7499,False,False,-41.5930385,147.1195411,16.1m2,Toosey Aged and Community Care,395000.0,67.96
7500,False,False,-41.5930385,147.1195411,17.7m2,Toosey Aged and Community Care,395000.0,67.96
7501,False,False,-41.5930385,147.1195411,17m2,Toosey Aged and Community Care,395000.0,67.96
7502,False,False,-41.5930385,147.1195411,16.1m2,Toosey Aged and Community Care,395000.0,67.96
7503,False,False,-41.5930385,147.1195411,16.1m2,Toosey Aged and Community Care,395000.0,67.96
7504,False,False,-41.5930385,147.1195411,17.7m2,Toosey Aged and Community Care,250000.0,43.01
7505,False,False,-41.5930385,147.1195411,17m2,Toosey Aged and Community Care,395000.0,67.96
7506,False,False,-41.5930385,147.1195411,17m2,Toosey Aged and Community Care,395000.0,67.96
7507,False,False,-41.5930385,147.1195411,15.6m2,Toosey Aged and Community Care,395000.0,67.96
7508,False,False,-41.5930385,147.1195411,20.2m2,Toosey Aged and Community Care,250000.0,43.01
7509,False,False,-41.5930385,147.1195411,17.3m2,Toosey Aged and Community Care,250000.0,43.01
7510,False,False,-41.5930385,147.1195411,19.7m2,Toosey Aged and Community Care,395000.0,67.96
7511,False,False,-41.5930385,147.1195411,16m2,Toosey Aged and Community Care,395000.0,67.96
7512,False,False,-41.5930385,147.1195411,20.4m2,Toosey Aged and Community Care,395000.0,67.96
7513,False,False,-41.5930385,147.1195411,15.7m2,Toosey Aged and Community Care,395000.0,67.96
7514,False,False,-41.5930385,147.1195411,16.4m2,Toosey Aged and Community Care,395000.0,67.96
7515,False,False,-41.5930385,147.1195411,16.3m2,Toosey Aged and Community Care,395000.0,67.96
7516,False,False,-41.5930385,147.1195411,17m2,Toosey Aged and Community Care,395000.0,67.96
7517,False,False,-41.5930385,147.1195411,18.8m2,Toosey Aged and Community Care,395000.0,67.96
7518,False,False,-41.5930385,147.1195411,17.7m2,Toosey Aged and Community Care,250000.0,43.01
7519,False,False,-41.5930385,147.1195411,17m2,Toosey Aged and Community Care,395000.0,67.96
7520,False,False,-41.5930385,147.1195411,19.2m2,Toosey Aged and Community Care,475000.0,81.73
7521,False,False,-41.5930385,147.1195411,17m2,Toosey Aged and Community Care,395000.0,67.96
